serial,name,inci,typeo,hlb

2003090,Crodamol STS-Hershberg,PPG 3 Benzyl Ether Myristate,,,,,,,,,,11.5
2003091,Crodamol W-Hershberg,"STEARYL CAPRYLATE, STEARYL HEPTANOATE",,,,,,,,,,16.5
2003092,Cetiol OE,,,,,,,,,,,
2003093,Cetiol 868,,,,,,,,,,,
2003094,Cetiol SN,,,,,,,,,,,
2003095,Carbopol Aqua SF-1,,,,,,,,,,,
2003096,Cocoa Butter,,,,,,,,,,,
2003097,Canadian Willow Herb,,,,,,,,,,,2.6
2003098,Ceraphyl 847 - Bsc,Octyldodecyl Stearoyl Stearate,,,,,,,,,,6.8
2003099,Cranberry ext,,,,,,,,,,,25
2003100,Cranberry Mint,,,,,,,,,,,
2003101,Carnuba wax,,,,,,,,,,,
2003102,?????? ?????? ?????,,,,,,,,,,,25
2003103,Cley Red EC,,,,,,,,,,,
2003104,Clay Green EC,,,,,,,,,,,
2003105,Cley Nude EC,,,,,,,,,,,
2003106,Cley Yellow EC,,,,,,,,,,,
2003107,??? ???? ??? ???? Cl26100,,,,,,,,,,,0.19
2003108,Capsicum Hydroglyserine extrac,,,,,,,,,,,3.78
2003109,Clove ext/syzygium aro,,,,,,,,,,,1.23
2003110,Bamboo Charcaol,,,,,,,,,,,1
2003111,Cristalhyal FL,,,,,,,,,,,
2003112,Cristalhyal - ????,,,,,,,,,,,0.06
2003113,Cetyl Palmitate,,,,,,,,,,,
2003114,Cedarwood Oil -  ZIV,,,,,,,,,,,1.47
2003115,Candelila Wax,,,,,,,,,,,
2003116,Charcoal,,,,,,,,,,,
2003117,Cetiol V / Ercarel idov,,,,,,,,,,,
2003118,Channelled Wrack( Extract),,,,,,,,,,,
2003119,Collodial Silver Solution,,,,,,,,,,,
2003120,Cellosize QP100MH - DOW,,,,,,,,,,,
2003121,Cosmedia SP Cognis,,,,,,,,,,,
2003122,cucumber Extract -ORGANIC,,,,,,,,,,,
2003123,Carbomer 980,,,,,,,,,,,34.23
2003124,Chronoline - Peptide,,,,,,,,,,,
2003125,Coconut Milk Powder,,,,,,,,,,,
2003126,CollaPlant Z NPNF,,,,,,,,,,,
2004001,DEAD SEA SALT,,,,,,,,,,,
2004002,DETERGENT-EMPICOL ESB70,,,,,,,,,,,
2004003,DRAAKAR NOIR PERFUME,,,,,,,,,,,
2004004,DEWBERRY PERFUME BELMAY,,,,,,,,,,,6.31
2004005,DEXOL A II,,,,,,,,,,,
2004006,DIHYDROXYACETONE EXTRA REF3,,,,,,,,,,,
2004007,DPPG,,,,,,,,,,,
2004008,D&C GREEN OIL SOLUBLE No 6,,,,,,,,,,,
2004009,DRY PLUS FLO,,,,,,,,,,,
2004010,DECYLGLUCOSIDE/ORAMIX NS10,,,,,,,,,,,
2004011,D/C 1501,,,,,,,,,,,
2004012,DETERGENT IFRAPONLOS 2,,,,,,,,,,,
2004013,DEAD SEA SALT PRIGOR,,,,,,,,,,,
2004014,DRY SALT  A-ATLIT,,,,,,,,,,,
2004015,Tetra SODIUM EDTA,,,,,,,,,,,15.56
2004016,DETERGENT ETA70 KAO,,,,,,,,,,,-26.97
